number_of_features,execution_times,fitness,times_by_iteration,test_times,train_scores,number_of_iterations,number_of_samples,task,max_iterations,optimizer,kernel
5500,24.9537,0.6324,0.2649,0.1535,0.9999,28.4,1082,ranking,1000,avltree,rbf
5200,24.2762,0.6598,0.2454,0.1385,0.9999,29.1,1082,ranking,1000,avltree,rbf
5300,26.3727,0.6546,0.2693,0.1503,0.9999,29.8,1082,ranking,1000,avltree,rbf
5600,24.9325,0.6531,0.2475,0.1655,0.9999,27.9,1082,ranking,1000,avltree,rbf
5900,24.5307,0.6649,0.2533,0.1694,0.9999,28.9,1082,ranking,1000,avltree,rbf
6000,19.323,0.6364,0.233,0.179,0.9999,25.2,1082,ranking,1000,avltree,rbf
5800,25.1857,0.6508,0.2595,0.1648,1.0,28.8,1082,ranking,1000,avltree,rbf
5700,21.6411,0.6521,0.2448,0.1613,0.9999,27.1,1082,ranking,1000,avltree,rbf
6100,24.4113,0.6467,0.2483,0.1884,0.9999,27.2,1082,ranking,1000,avltree,rbf
6400,24.626,0.6423,0.2526,0.1845,0.9999,28.4,1082,ranking,1000,avltree,rbf
6500,19.6084,0.6716,0.2053,0.1791,0.9999,23.7,1082,ranking,1000,avltree,rbf
6300,21.4089,0.6371,0.2305,0.1915,1.0,25.4,1082,ranking,1000,avltree,rbf
6200,21.9678,0.6663,0.2384,0.1721,1.0,26.2,1082,ranking,1000,avltree,rbf
6600,22.7448,0.6288,0.2344,0.1803,0.9999,26.5,1082,ranking,1000,avltree,rbf
6900,26.3607,0.6628,0.2654,0.2077,0.9999,29.1,1082,ranking,1000,avltree,rbf
7000,25.8862,0.6407,0.265,0.1893,0.9999,28.4,1082,ranking,1000,avltree,rbf
6700,25.2902,0.6698,0.2568,0.1814,1.0,28.3,1082,ranking,1000,avltree,rbf
6800,22.0603,0.6547,0.2302,0.182,1.0,26.0,1082,ranking,1000,avltree,rbf
7100,24.9945,0.6672,0.2567,0.2111,0.9999,27.4,1082,ranking,1000,avltree,rbf
7400,25.4077,0.652,0.2708,0.214,0.9999,27.3,1082,ranking,1000,avltree,rbf
7500,25.0091,0.6364,0.252,0.2232,1.0,26.8,1082,ranking,1000,avltree,rbf
7200,22.1769,0.6564,0.2343,0.1927,0.9999,26.4,1082,ranking,1000,avltree,rbf
7300,22.1936,0.627,0.2269,0.1963,1.0,25.8,1082,ranking,1000,avltree,rbf
